Issue ID,Issue Type,Summary,Priority,Labels,Story Points,Description,Parent
1,Epic,Trip Creation & Management,High,,,"Epic covering trip creation, dashboard, and trip management.",
2,Epic,Pre-trip Checklist,High,,,"Epic covering pre-trip task checklists like flights, insurance, and visa.",
3,Epic,Packing List,Medium,,,Epic covering packing list generation and management.,
4,Epic,Itinerary & Today View,High,,,Epic covering day-by-day itinerary builder and on-trip Today view.,
5,Epic,Notifications & Reminders,High,,,Epic covering time-based reminders and push notifications.,
6,Epic,Backend & Infra,High,,,"Epic covering backend setup, CI/CD, and infrastructure.",
7,Epic,Travel Documents,Medium,,,Epic covering document uploads and attachments per trip.,
8,Story,BE-1: Bootstrap NestJS project and DB schema,High,sprint1,3,"As a developer, I want a NestJS project bootstrapped with PostgreSQL so that I can implement trip features consistently.

Acceptance Criteria:
- NestJS project initialized with modules: Auth, Trips, Checklist, Packing
- Connected to PostgreSQL with TypeORM/Prisma migrations
- Base entities: User, Trip, TripTask, PackingItem
- Health-check endpoint at /health",6
9,Story,BE-2: Implement user authentication (email/password + JWT),High,sprint1,3,"As a traveler, I want to sign up and log in so that my trips are saved securely.

Acceptance Criteria:
- Endpoints: POST /auth/register, POST /auth/login, POST /auth/logout
- JWT-based auth; all trip endpoints require valid token
- Password hashed with bcrypt
- Return 401 for invalid credentials",6
10,Story,BE-3: Trip CRUD API,High,sprint1,2,"As a developer, I want CRUD endpoints for trips so that the frontend can manage trip data.

Acceptance Criteria:
- Endpoints: POST /trips, GET /trips, GET /trips/:id, PATCH /trips/:id, DELETE /trips/:id
- Ownership check: user can only access their own trips
- Validation: end_date must be after start_date",6
11,Story,DEV-1: CI pipeline and staging environment,Medium,sprint1,2,"As a developer, I want a CI pipeline and staging environment so that builds and deployments are reliable.

Acceptance Criteria:
- GitHub Actions/GitLab CI runs build + tests on every PR
- App deployed to staging (GCP Cloud Run or equivalent)
- Cloud SQL connected to staging
- Auto-deploy on merge to main",6
12,Story,TRIP-1: Create and view trips UI,High,sprint1,3,"As a traveler, I want to create a new trip and see all my trips listed so that I can stay organized.

Acceptance Criteria:
- My Trips screen lists trips grouped into Upcoming and Past
- Each item shows: destination, date range, status (Planning/In-progress/Completed)
- Trip creation form: name, destination, dates, trip type
- Validation prevents invalid date ranges
- User can edit and delete a trip",1
13,Story,TRIP-2: Trip dashboard overview,High,sprint1,2,"As a traveler, I want a dashboard for each trip so that I can see my planning progress at a glance.

Acceptance Criteria:
- Shows: trip name, destination, dates
- Shows pre-trip task progress (e.g. 5/12 done)
- Shows next upcoming pending task with due date
- Quick-links to Checklist, Packing, Itinerary, Documents",1
14,Story,CHK-1: Auto-generate default checklist on trip creation,High,sprint1,3,"As a traveler, I want the app to auto-generate a pre-trip checklist so that I don't forget common tasks.

Acceptance Criteria:
- On trip creation, default tasks inserted: Book flights, Book accommodation, Buy travel insurance, Check visa, Arrange transport, Buy eSIM, Exchange currency, Prepare travel documents
- Tasks grouped by category: Logistics, Documents, Money, Communication, Packing
- Tasks have suggested due dates relative to trip start (flights T-60, insurance T-30, packing T-1)",2
15,Story,CHK-2: Checklist CRUD API and UI,High,sprint1,3,"As a traveler, I want to manage my checklist items so that I can customize my trip planning.

Acceptance Criteria:
- Backend: list tasks by trip, add custom task, update status, delete
- Frontend: checklist screen grouped by status (Pending/Done), sorted by due date
- User can add custom task (title, category, optional due date, notes)
- Completed tasks show check mark and are greyed out
- User can uncheck a completed task",2
16,Story,CHK-3: Overdue highlighting and filter controls,Medium,sprint1,2,"As a traveler, I want to filter and see overdue tasks so that I know what needs urgent attention.

Acceptance Criteria:
- Tasks where due_date < today and status != done are marked overdue
- Overdue tasks highlighted in red or with warning icon
- Filter controls: All / Pending / Completed / Overdue
- Overdue count shown on dashboard badge",2
17,Story,PACK-1: Auto-suggest packing list on trip creation,Medium,sprint1,3,"As a traveler, I want the app to suggest a packing list based on my trip so that I pack efficiently.

Acceptance Criteria:
- Backend generates suggestions based on: trip duration, climate (warm/cold), trip type
- Items grouped: Clothes, Toiletries, Electronics, Documents, Misc
- User can accept all or selectively remove items",3
18,Story,PACK-2: Packing list CRUD UI with packed/unpacked toggle,Medium,sprint1,2,"As a traveler, I want to manage my packing list so that I can track what I've already packed.

Acceptance Criteria:
- User can add custom items and choose a category
- Toggle items as packed/unpacked
- Filter by category or packed status
- Packing progress bar shown (e.g. 8/20 packed)",3
