Summary,Issue Type,Epic Link,Priority,Labels,Story Points,Description
BE-1: Bootstrap NestJS project and DB schema,Story,Backend & Infra,High,sprint1,3,"As a developer, I want a NestJS project bootstrapped with PostgreSQL so that I can implement trip features consistently.

Acceptance Criteria:
- NestJS project initialized with modules: Auth, Trips, Checklist, Packing
- Connected to PostgreSQL with TypeORM/Prisma migrations
- Base entities created: User, Trip, TripTask, PackingItem
- Health-check endpoint available at /health"
BE-2: Implement user authentication (email/password + JWT),Story,Backend & Infra,High,sprint1,3,"As a traveler, I want to sign up and log in so that my trips are saved securely to my account.

Acceptance Criteria:
- Endpoints: POST /auth/register, POST /auth/login, POST /auth/logout
- JWT-based auth; all trip endpoints require valid token
- Password is hashed (bcrypt)
- Return 401 for invalid credentials"
BE-3: Trip CRUD API,Story,Backend & Infra,High,sprint1,2,"As a developer, I want CRUD endpoints for trips so that the frontend can manage trip data.

Acceptance Criteria:
- Endpoints: POST /trips, GET /trips, GET /trips/:id, PATCH /trips/:id, DELETE /trips/:id
- Ownership check: user can only access their own trips
- Validation: end_date must be after start_date"
DEV-1: CI pipeline and staging environment,Story,Backend & Infra,Medium,sprint1,2,"As a developer, I want a CI pipeline and staging environment so that builds and deployments are reliable.

Acceptance Criteria:
- GitHub Actions/GitLab CI runs build + tests on every PR
- App deployed to GCP Cloud Run (or equivalent staging env)
- Cloud SQL connected to staging app
- Deployment triggered automatically on merge to main"
TRIP-1: Create and view trips UI,Story,Trip Creation & Management,High,sprint1,3,"As a traveler, I want to create a new trip and see all my trips listed so that I can stay organized.

Acceptance Criteria:
- 'My Trips' screen lists trips grouped into Upcoming and Past
- Each list item shows: destination, date range, status (Planning/In-progress/Completed)
- Trip creation form: name, destination, dates, trip type (leisure/business/road trip)
- Validation prevents invalid date ranges
- User can edit and delete a trip"
TRIP-2: Trip dashboard overview,Story,Trip Creation & Management,High,sprint1,2,"As a traveler, I want a dashboard for each trip so that I can see my planning progress at a glance.

Acceptance Criteria:
- Dashboard shows: trip name, destination, dates
- Shows pre-trip task progress (e.g. 5/12 done)
- Shows next upcoming pending task with due date
- Quick-links to Checklist, Packing, Itinerary, and Documents sections"
CHK-1: Auto-generate default checklist on trip creation,Story,Pre-trip Checklist,High,sprint1,3,"As a traveler, I want the app to auto-generate a pre-trip checklist so that I don't forget common tasks like flights and insurance.

Acceptance Criteria:
- On trip creation, default tasks are inserted: Book flights, Book accommodation, Buy travel insurance, Check visa requirements, Arrange local transport, Buy eSIM/SIM, Exchange currency, Prepare travel documents
- Tasks are grouped into categories: Logistics, Documents, Money, Communication, Packing
- Tasks have suggested due dates relative to trip start (e.g. flights at T-60, insurance at T-30, packing at T-1)"
CHK-2: Checklist CRUD API and UI,Story,Pre-trip Checklist,High,sprint1,3,"As a traveler, I want to manage my checklist items so that I can customize my trip planning.

Acceptance Criteria:
- Backend: list tasks by trip, add custom task, update status, delete task
- Frontend: checklist screen grouped by status (Pending/Done), sorted by due date
- User can add custom task (title, category, optional due date, notes)
- Completed tasks show a check mark and are visually greyed out
- User can uncheck a completed task"
CHK-3: Overdue highlighting and filter controls,Story,Pre-trip Checklist,Medium,sprint1,2,"As a traveler, I want to filter and see overdue tasks so that I know what needs urgent attention.

Acceptance Criteria:
- Tasks where due_date < today and status != done are marked as overdue
- Overdue tasks highlighted in red or with a warning icon
- Filter controls: All / Pending / Completed / Overdue
- Overdue count shown on trip dashboard badge"
PACK-1: Auto-suggest packing list on trip creation,Story,Packing List,Medium,sprint1,3,"As a traveler, I want the app to suggest a packing list based on my trip so that I pack efficiently.

Acceptance Criteria:
- Backend generates suggested items based on: trip duration, climate (warm/cold), and trip type
- Items grouped into: Clothes, Toiletries, Electronics, Documents, Misc
- User can accept all suggestions or selectively remove items
- Accessible via 'Packing' section of trip dashboard"
